CGPA,Aptitude_Score,Programming_Skill,Data_Structures_Skill,Communication_Rating,Public_Speaking,Creative_Thinking,Recommended_Role
9.13,61.7,2.1,2.3,8.2,8.3,8.4,UI/UX Designer
8.29,74.1,8.6,6.5,6.6,5.8,6.9,Cloud Engineer
7.97,63.7,4.9,1.0,8.2,8.9,9.0,UI/UX Designer
8.14,94.2,8.2,6.2,5.8,6.6,4.6,Cyber Security Analyst
6.65,70.8,3.3,2.6,9.3,8.9,9.0,Product Manager
6.06,80.8,5.6,5.2,6.2,7.1,5.7,Cloud Engineer
6.85,71.5,4.6,2.4,8.9,7.7,9.4,UI/UX Designer
7.11,55.2,1.6,3.2,8.4,7.4,8.5,UI/UX Designer
7.69,81.0,7.9,7.1,5.8,4.1,7.2,Data Scientist
7.34,93.0,8.1,6.3,7.6,5.0,6.3,Cyber Security Analyst
7.5,70.9,5.0,4.2,9.5,9.9,9.1,Product Manager
7.61,66.5,9.2,9.2,5.0,4.1,6.1,Full-Stack Developer
8.23,68.9,9.7,8.6,5.9,4.2,4.6,Full-Stack Developer
6.8,100.0,7.3,9.0,6.5,4.6,3.6,Cyber Security Analyst
4.98,51.6,3.2,4.0,8.5,9.1,9.6,UI/UX Designer
6.35,73.5,4.3,3.1,9.3,8.6,9.3,Product Manager
8.38,63.3,8.6,8.6,5.0,4.4,6.1,Full-Stack Developer
8.41,71.5,9.0,8.1,4.9,4.1,6.9,Full-Stack Developer
6.9,54.3,2.9,3.8,8.8,6.4,10.0,UI/UX Designer
8.14,73.4,8.7,10.0,4.8,4.2,7.5,Data Scientist
8.03,72.0,9.1,8.4,4.9,4.6,6.9,Full-Stack Developer
8.09,74.1,3.1,1.6,10.0,8.8,9.0,Product Manager
8.12,76.0,8.0,7.2,7.3,4.6,4.7,Cloud Engineer
7.92,61.6,5.2,4.4,10.0,9.1,9.4,Product Manager
8.83,61.0,3.7,3.3,8.9,8.7,8.8,Product Manager
5.8,70.9,3.2,3.3,9.1,6.9,10.0,UI/UX Designer
7.05,66.5,7.0,7.8,6.6,5.5,5.0,Cloud Engineer
7.63,76.1,3.7,5.0,9.7,10.0,9.2,Product Manager
6.41,85.7,8.3,6.8,5.3,6.5,5.3,Cyber Security Analyst
8.77,83.7,7.9,6.9,5.7,6.0,5.9,Cyber Security Analyst
7.87,100.0,6.8,6.6,6.0,5.8,6.6,Cyber Security Analyst
7.69,74.4,9.3,8.9,4.0,3.7,5.2,Full-Stack Developer
7.03,83.9,6.1,5.2,5.6,5.1,5.9,Cloud Engineer
6.34,83.3,10.0,9.2,3.8,4.6,6.2,Full-Stack Developer
8.12,58.2,4.5,4.2,8.8,9.9,8.0,Product Manager
8.64,97.8,9.7,7.0,6.2,5.5,3.0,Cyber Security Analyst
8.3,95.5,8.9,6.2,5.1,4.2,4.9,Cyber Security Analyst
5.99,59.7,1.7,1.5,9.7,7.5,9.2,UI/UX Designer
7.14,59.7,9.3,8.8,4.7,5.0,5.6,Full-Stack Developer
8.44,85.2,7.7,6.8,5.1,4.8,5.1,Cyber Security Analyst
6.03,62.9,3.1,2.5,9.8,8.4,8.4,Product Manager
8.38,81.2,6.4,6.0,4.5,6.0,4.8,Cloud Engineer
8.17,85.6,9.3,7.9,6.7,4.6,3.8,Cyber Security Analyst
8.38,82.8,7.6,5.5,5.7,5.1,6.9,Cloud Engineer
6.26,55.6,2.2,1.8,9.4,9.4,8.3,Product Manager
5.22,48.1,4.5,2.5,8.5,6.9,9.2,UI/UX Designer
8.84,82.0,8.0,5.4,4.8,4.5,4.8,Cyber Security Analyst
7.12,75.8,5.3,3.2,8.3,9.1,7.3,Product Manager
9.18,80.1,7.2,8.4,5.4,3.9,6.5,Data Scientist
7.25,70.2,9.1,8.9,3.8,3.7,4.8,Full-Stack Developer
7.97,73.4,9.7,10.0,5.3,4.9,5.5,Full-Stack Developer
8.72,89.8,8.5,9.0,6.5,5.5,7.2,Data Scientist
8.2,75.1,7.6,7.9,7.7,3.9,6.1,Cloud Engineer
8.89,88.8,8.5,6.5,5.7,4.6,8.6,Data Scientist
8.22,81.8,9.1,7.1,4.9,4.5,7.0,Data Scientist
7.73,100.0,7.5,6.4,7.9,3.1,4.4,Cyber Security Analyst
6.86,67.6,9.0,8.0,2.4,2.9,6.2,Full-Stack Developer
6.34,61.0,3.7,4.0,9.0,9.0,8.9,Product Manager
6.85,79.2,5.1,7.0,6.3,6.4,7.3,Cloud Engineer
6.55,61.4,2.5,3.4,9.0,8.2,9.5,UI/UX Designer
8.91,82.0,6.7,6.6,5.0,6.0,5.2,Cloud Engineer
9.26,92.2,7.1,8.1,4.7,4.3,7.9,Data Scientist
9.49,79.6,8.2,8.0,4.2,5.7,8.0,Data Scientist
6.93,65.3,2.5,3.9,9.2,7.9,8.7,UI/UX Designer
7.31,82.0,8.2,6.4,6.2,5.5,5.4,Cyber Security Analyst
8.23,95.6,7.6,4.6,4.8,4.8,6.0,Cyber Security Analyst
6.56,62.5,3.0,3.3,8.8,8.5,10.0,UI/UX Designer
5.92,58.1,4.2,2.2,8.9,5.8,10.0,UI/UX Designer
7.42,68.0,2.7,3.4,8.4,8.4,9.1,UI/UX Designer
6.96,63.1,4.4,6.1,10.0,9.4,9.0,Product Manager
6.78,84.7,3.9,3.4,9.4,8.4,9.0,Product Manager
8.49,91.3,5.9,6.2,6.9,5.8,5.9,Cloud Engineer
7.41,63.7,9.6,10.0,5.3,4.9,5.3,Full-Stack Developer
7.95,91.2,6.2,4.7,7.5,6.3,5.4,Cloud Engineer
8.5,83.4,8.2,7.9,8.2,6.0,5.8,Cloud Engineer
6.73,57.4,10.0,9.4,5.2,4.9,5.7,Full-Stack Developer
6.26,61.8,3.8,2.3,9.1,7.7,9.3,UI/UX Designer
7.28,98.6,6.7,6.7,5.9,3.6,2.7,Cyber Security Analyst
7.15,64.9,8.9,9.1,4.1,5.9,4.2,Full-Stack Developer
7.12,73.1,3.2,4.7,9.3,9.7,8.2,Product Manager
8.69,94.3,7.2,5.8,6.0,5.1,2.7,Cyber Security Analyst
7.98,57.0,4.8,2.1,9.3,8.7,7.3,Product Manager
7.65,73.4,7.1,5.7,7.4,4.9,6.5,Cloud Engineer
9.05,84.9,8.4,8.2,4.2,4.6,6.8,Data Scientist
8.7,67.2,10.0,9.1,4.9,2.1,5.2,Full-Stack Developer
8.8,60.9,8.2,6.1,5.6,5.7,3.9,Cloud Engineer
6.85,69.7,9.3,8.9,2.2,2.1,6.1,Full-Stack Developer
6.34,57.6,3.6,2.6,10.0,8.4,8.8,UI/UX Designer
8.24,86.5,5.1,8.2,6.9,5.0,6.3,Cyber Security Analyst
7.3,63.5,10.0,8.7,4.0,4.7,4.7,Full-Stack Developer
8.04,86.9,8.3,6.9,5.4,3.3,5.5,Data Scientist
7.29,97.9,7.1,7.6,6.9,5.3,4.1,Cyber Security Analyst
9.58,84.9,9.4,7.1,5.2,5.7,5.7,Data Scientist
7.7,80.0,9.3,8.7,3.8,1.0,7.1,Full-Stack Developer
5.98,61.3,2.0,3.1,10.0,8.7,9.0,Product Manager
6.98,52.4,2.6,3.0,9.0,6.9,9.2,UI/UX Designer
9.5,90.2,8.3,7.9,6.4,5.7,4.6,Data Scientist
8.48,78.5,9.9,9.9,5.1,3.6,6.7,Full-Stack Developer
6.41,80.9,3.5,2.5,9.5,8.8,8.7,Product Manager
8.24,86.6,7.9,7.5,6.1,3.9,5.5,Cloud Engineer
6.94,74.5,9.9,8.8,5.6,5.4,4.8,Full-Stack Developer
7.74,97.2,7.2,7.0,5.9,5.7,3.8,Cyber Security Analyst
6.95,66.7,5.4,3.7,10.0,8.2,8.9,Product Manager
8.28,83.4,8.1,8.3,6.2,3.9,8.8,Data Scientist
7.02,71.1,4.4,3.7,10.0,10.0,8.1,Product Manager
8.9,73.0,6.6,6.5,6.7,4.9,3.9,Cloud Engineer
8.04,87.2,8.1,7.2,5.9,3.8,6.4,Data Scientist
7.19,100.0,7.9,6.5,5.1,4.8,5.2,Cyber Security Analyst
6.69,57.6,9.8,10.0,4.3,4.0,4.2,Full-Stack Developer
8.29,77.4,8.4,5.8,6.5,6.0,6.9,Cloud Engineer
7.44,85.2,8.6,5.5,7.1,5.2,4.5,Cyber Security Analyst
7.44,100.0,7.7,6.5,7.8,5.6,5.4,Cyber Security Analyst
7.89,85.7,6.9,5.5,4.6,4.1,3.3,Cyber Security Analyst
7.88,100.0,7.7,6.0,6.6,6.6,6.8,Data Scientist
7.64,82.6,8.3,6.5,7.1,4.9,6.9,Cloud Engineer
7.66,66.6,4.3,3.8,9.6,8.4,7.8,Product Manager
6.89,49.0,3.9,3.4,9.2,6.9,9.2,UI/UX Designer
8.26,61.9,4.9,2.5,8.5,7.2,9.0,UI/UX Designer
7.88,91.9,8.0,8.4,4.7,5.9,5.3,Cyber Security Analyst
6.83,66.6,9.3,8.0,5.8,4.2,6.3,Full-Stack Developer
6.75,68.3,9.9,10.0,5.3,2.8,5.1,Full-Stack Developer
7.29,72.7,3.6,3.6,9.2,8.9,7.5,Product Manager
6.26,63.6,4.4,3.9,8.8,8.1,9.8,UI/UX Designer
8.19,58.9,3.0,1.1,8.5,8.4,8.7,UI/UX Designer
8.28,90.0,6.3,6.7,5.4,5.7,4.2,Cyber Security Analyst
5.79,65.1,3.7,3.3,9.1,8.9,7.3,Product Manager
7.39,90.7,7.8,8.4,5.4,4.6,4.3,Cyber Security Analyst
7.79,77.1,8.5,8.5,3.2,2.9,4.5,Full-Stack Developer
7.58,91.3,8.7,8.0,5.4,5.3,4.3,Cyber Security Analyst
8.1,43.3,4.2,4.3,9.1,8.7,10.0,UI/UX Designer
6.83,98.0,7.4,6.7,5.1,6.8,6.1,Cyber Security Analyst
9.15,81.7,8.0,5.3,6.5,6.3,5.3,Cloud Engineer
8.01,68.9,9.7,9.1,3.6,3.4,6.0,Full-Stack Developer
6.21,67.9,4.5,3.5,9.3,8.8,7.9,Product Manager
7.04,47.4,2.8,3.9,8.3,7.4,9.3,UI/UX Designer
7.19,66.6,3.6,3.8,9.6,9.0,8.8,Product Manager
8.02,62.5,4.8,4.0,9.5,8.8,9.0,Product Manager
7.73,67.3,9.9,9.4,5.1,4.2,7.6,Full-Stack Developer
9.16,90.5,6.5,6.7,6.3,5.8,2.7,Cyber Security Analyst
6.97,70.8,9.8,9.8,4.7,3.5,5.9,Full-Stack Developer
7.25,68.5,2.8,2.8,8.8,9.6,9.3,Product Manager
8.39,92.2,6.2,5.5,6.0,6.1,3.4,Cloud Engineer
7.82,81.7,8.0,7.6,8.6,3.2,4.6,Cloud Engineer
6.78,58.4,3.8,1.6,9.2,8.6,8.6,Product Manager
7.37,63.2,9.3,9.6,6.1,4.4,6.3,Full-Stack Developer
7.18,82.9,7.8,5.2,4.7,4.0,2.9,Cyber Security Analyst
8.8,74.2,8.8,7.4,7.7,4.6,7.8,Data Scientist
7.74,71.8,3.2,4.3,8.9,9.6,8.4,Product Manager
6.72,65.2,4.5,4.1,9.8,8.7,8.5,Product Manager
8.91,91.4,5.5,6.7,7.2,5.6,5.4,Cyber Security Analyst
7.09,53.0,3.9,3.9,9.3,7.1,9.9,UI/UX Designer
8.26,81.8,5.9,5.1,5.4,3.7,3.6,Cloud Engineer
6.96,77.6,7.5,6.4,6.9,5.7,5.5,Cloud Engineer
8.41,85.2,7.4,8.7,5.8,3.4,6.2,Data Scientist
8.45,71.4,5.9,8.3,3.5,4.1,4.4,Cloud Engineer
8.99,85.8,10.0,8.5,5.7,3.9,6.0,Data Scientist
7.66,80.4,9.2,8.8,4.5,5.3,5.7,Full-Stack Developer
9.3,88.1,9.4,6.5,5.0,5.9,8.3,Data Scientist
6.14,62.6,6.2,3.1,9.6,8.4,10.0,Product Manager
8.28,66.5,4.2,5.0,8.8,8.3,8.7,Product Manager
8.43,84.2,7.4,6.0,5.1,6.7,4.5,Cyber Security Analyst
8.03,68.3,7.7,6.9,6.3,6.6,4.9,Cloud Engineer
7.9,89.6,5.9,6.3,5.7,2.6,2.9,Cyber Security Analyst
8.38,66.8,9.8,9.3,5.0,4.5,6.8,Data Scientist
8.72,73.6,7.5,9.2,5.2,5.6,5.3,Cloud Engineer
8.13,85.6,4.1,5.2,9.3,10.0,7.5,Product Manager
9.01,89.0,6.6,4.8,7.6,5.3,4.1,Cyber Security Analyst
8.98,73.4,9.3,8.4,5.9,4.1,5.0,Full-Stack Developer
7.54,68.9,9.3,8.8,4.3,3.7,7.2,Full-Stack Developer
9.08,81.4,8.4,7.5,3.4,4.7,7.2,Data Scientist
7.09,68.9,3.7,4.6,9.1,8.5,7.8,Product Manager
6.3,100.0,7.7,6.5,3.1,2.9,3.2,Cyber Security Analyst
6.23,71.0,3.7,3.9,9.5,8.6,7.7,Product Manager
6.98,54.6,4.4,4.7,9.5,8.3,8.1,Product Manager
7.65,96.1,8.5,6.4,6.2,5.1,5.5,Cyber Security Analyst
8.11,74.0,10.0,9.7,4.2,3.4,5.1,Full-Stack Developer
8.81,79.8,7.4,6.7,5.7,2.8,6.6,Data Scientist
7.05,54.9,3.3,2.5,9.7,7.3,9.9,UI/UX Designer
6.78,79.5,9.9,8.9,3.1,3.3,5.3,Full-Stack Developer
7.19,59.3,4.2,3.0,9.2,9.6,9.7,Product Manager
7.0,54.0,3.8,1.9,9.8,6.3,10.0,UI/UX Designer
6.2,74.9,5.3,3.4,8.9,8.8,10.0,UI/UX Designer
6.96,77.6,5.5,6.0,6.8,6.5,4.6,Cloud Engineer
6.16,62.9,5.5,3.0,10.0,9.3,7.7,Product Manager
9.41,85.3,9.1,9.5,5.0,3.6,5.6,Data Scientist
8.43,72.4,4.2,2.8,10.0,9.3,7.6,Product Manager
6.99,60.1,2.1,3.6,10.0,6.1,9.7,UI/UX Designer
5.86,53.5,2.2,1.9,8.8,7.5,10.0,UI/UX Designer
8.38,80.7,7.4,7.3,6.5,4.9,5.0,Cloud Engineer
8.23,84.8,8.3,6.0,6.3,4.7,4.1,Cyber Security Analyst
5.92,65.4,2.3,2.3,10.0,7.7,9.1,UI/UX Designer
7.21,77.9,7.4,6.5,5.1,6.3,4.8,Cloud Engineer
7.8,61.8,4.3,4.0,9.3,9.1,7.8,Product Manager
6.36,64.5,3.4,2.5,9.8,9.3,7.8,Product Manager
8.17,83.6,7.6,8.0,4.9,4.8,5.9,Cyber Security Analyst
8.05,97.3,7.0,5.3,5.2,3.4,3.8,Cyber Security Analyst
7.41,58.2,5.8,3.2,9.0,9.3,9.5,Product Manager
6.73,77.8,5.4,4.2,9.3,9.1,8.0,Product Manager
7.93,97.4,8.9,7.7,6.8,2.4,6.2,Data Scientist
8.48,88.5,7.4,4.7,6.9,4.5,5.8,Cyber Security Analyst
5.73,63.8,3.7,3.3,10.0,9.9,8.9,Product Manager
6.71,61.1,3.0,1.7,9.6,7.1,8.7,UI/UX Designer
8.01,63.3,4.9,2.8,7.9,7.7,9.0,UI/UX Designer
8.73,69.5,5.2,5.2,5.2,5.9,5.8,Cloud Engineer
8.32,68.4,5.2,3.5,9.3,8.2,9.1,Product Manager
8.08,94.1,8.5,7.9,4.6,5.8,6.4,Data Scientist
8.98,79.2,6.9,7.1,8.0,6.0,6.8,Cloud Engineer
7.17,71.7,9.2,10.0,4.7,3.9,4.3,Full-Stack Developer
7.88,82.8,7.2,7.1,6.9,6.6,5.4,Cloud Engineer
6.46,44.1,2.6,3.2,8.8,7.4,9.5,UI/UX Designer
7.89,91.6,6.2,6.9,7.8,4.0,3.3,Cyber Security Analyst
8.43,80.9,6.5,6.7,6.5,4.3,7.1,Cloud Engineer
6.41,74.0,8.9,9.6,4.1,2.9,5.4,Full-Stack Developer
8.49,84.9,9.6,4.9,6.1,7.1,4.7,Cloud Engineer
8.33,85.1,5.8,7.3,5.3,5.6,5.6,Cloud Engineer
7.39,52.0,4.7,2.6,9.1,8.4,8.1,Product Manager
6.71,71.4,2.9,4.5,9.7,9.4,9.1,Product Manager
7.87,86.8,8.3,5.3,6.9,5.3,6.5,Cloud Engineer
7.91,49.2,4.0,3.9,9.1,8.2,8.7,Product Manager
7.43,81.0,6.8,8.4,5.9,5.2,5.3,Cyber Security Analyst
6.81,71.4,3.5,1.0,9.0,8.1,8.8,Product Manager
8.37,66.6,2.6,1.8,8.2,8.2,8.9,UI/UX Designer
6.8,51.0,3.4,3.2,8.3,7.4,9.6,UI/UX Designer
7.76,96.4,9.2,5.3,5.6,6.6,3.4,Cyber Security Analyst
8.33,92.6,8.7,8.0,4.3,6.0,4.9,Cyber Security Analyst
7.7,73.0,5.7,7.1,6.0,5.5,5.0,Cloud Engineer
9.17,76.3,8.7,7.8,4.8,3.1,5.8,Data Scientist
6.57,78.9,3.3,2.3,9.1,9.1,7.9,Product Manager
7.21,50.4,4.7,5.6,10.0,8.2,8.4,Product Manager
8.97,87.3,10.0,9.2,5.0,5.1,6.7,Data Scientist
7.58,98.5,8.4,7.7,4.6,5.5,8.4,Data Scientist
9.48,84.6,8.3,8.5,5.9,4.8,6.9,Data Scientist
8.1,79.4,8.4,6.6,5.8,4.1,7.1,Data Scientist
7.74,95.0,8.2,7.2,5.7,2.0,9.4,Data Scientist
7.54,77.1,9.4,8.5,2.8,4.6,5.8,Full-Stack Developer
8.55,77.6,8.5,9.5,4.8,2.9,6.6,Data Scientist
6.66,76.9,6.9,4.6,5.4,5.3,4.3,Cloud Engineer
7.77,77.2,6.1,5.4,6.4,6.8,5.8,Cloud Engineer
9.08,89.5,9.1,7.1,6.0,4.3,6.7,Data Scientist
8.03,81.7,8.4,7.8,5.8,4.7,6.9,Data Scientist
8.75,75.7,8.2,6.3,7.5,4.8,6.8,Cloud Engineer
8.26,72.1,10.0,7.4,5.0,6.2,7.7,Data Scientist
5.94,53.9,4.1,5.1,9.0,6.3,9.8,UI/UX Designer
6.63,73.9,3.7,4.1,9.7,9.6,8.8,Product Manager
6.75,51.5,2.0,3.4,8.8,5.9,10.0,UI/UX Designer
7.59,67.4,3.5,1.8,9.2,8.4,9.5,UI/UX Designer
7.23,86.1,7.1,6.1,6.2,6.7,4.5,Cyber Security Analyst
7.64,73.3,4.4,8.4,5.8,5.5,5.4,Cloud Engineer
8.88,86.7,8.2,7.5,6.6,4.6,6.9,Data Scientist
8.24,70.6,7.2,5.8,8.5,5.8,5.5,Cloud Engineer
8.73,84.9,7.6,5.9,6.7,6.4,4.0,Cyber Security Analyst
8.29,89.5,9.1,8.7,4.1,4.1,6.4,Data Scientist
9.01,90.2,7.3,7.2,4.4,4.7,7.3,Data Scientist
6.9,70.8,9.4,9.4,5.9,3.3,5.0,Full-Stack Developer
7.78,70.7,6.6,7.7,5.7,5.6,8.0,Cloud Engineer
6.88,71.5,4.3,5.4,9.5,9.5,8.7,Product Manager
7.1,88.5,6.6,8.2,6.7,4.9,6.7,Data Scientist
8.16,75.1,10.0,8.4,5.0,2.7,5.9,Data Scientist
8.93,97.8,8.0,5.9,6.2,3.5,4.2,Cyber Security Analyst
8.1,55.0,3.8,3.2,8.6,8.9,10.0,UI/UX Designer
7.99,81.2,8.6,8.1,6.2,5.0,5.6,Data Scientist
9.28,91.2,8.5,10.0,4.6,4.1,7.5,Data Scientist
6.06,69.3,3.2,1.9,7.7,7.0,9.6,UI/UX Designer
7.64,62.9,10.0,7.9,5.1,3.7,5.8,Full-Stack Developer
7.84,95.5,7.4,5.9,8.7,4.5,2.3,Cyber Security Analyst
8.31,74.5,7.3,6.3,4.4,5.0,4.8,Cloud Engineer
7.71,92.1,7.5,6.6,5.1,5.2,3.0,Cyber Security Analyst
7.73,60.9,3.9,2.9,9.4,8.4,8.5,Product Manager
7.01,67.4,9.2,8.6,4.4,5.5,6.0,Full-Stack Developer
8.11,89.7,9.3,6.6,4.6,5.4,6.0,Cyber Security Analyst
7.38,82.1,6.8,6.6,5.9,5.8,6.4,Cloud Engineer
6.04,48.3,3.2,4.0,7.7,8.5,9.0,UI/UX Designer
6.9,52.1,5.1,3.0,9.4,6.7,9.3,UI/UX Designer
8.24,90.3,6.5,7.1,5.4,5.6,4.1,Cyber Security Analyst
6.99,54.4,1.4,3.5,9.5,7.2,9.9,UI/UX Designer
7.94,81.1,8.0,6.9,8.8,6.4,4.1,Cyber Security Analyst
7.96,88.7,9.4,8.1,4.9,5.1,6.6,Data Scientist
8.21,80.4,10.0,7.9,6.1,3.5,6.1,Data Scientist
8.4,63.1,2.7,3.4,9.1,8.1,8.4,Product Manager
7.36,98.4,7.8,5.3,7.4,3.9,3.7,Cyber Security Analyst
8.85,82.3,8.5,7.7,6.3,4.6,5.8,Data Scientist
8.61,93.9,6.1,4.4,5.5,4.7,4.0,Cyber Security Analyst
7.86,72.4,9.5,8.6,4.8,5.7,6.1,Full-Stack Developer
7.75,77.5,6.5,7.4,7.5,6.3,4.8,Cloud Engineer
7.77,88.1,6.6,5.1,6.2,4.3,5.3,Cyber Security Analyst
7.45,76.3,7.6,6.1,6.6,3.8,6.5,Cloud Engineer
6.33,50.6,3.4,3.8,9.2,8.3,9.5,UI/UX Designer
8.51,77.9,9.6,8.9,4.9,5.0,4.6,Full-Stack Developer
